string,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Uus mäng,"Kes, mis","Kelle, mille",Kus kohas,"Keda, mida","Kellest, millest",Kellele millele,Kuhu,mitmus
Seadistused,Korog,Korogi,Korogis,Korogit,Korogist,Korogile,,
"Teisele mängijale asjade, raha ja maade saatmine on",Andres,Andrese,Andreses,Andrest,Andresest,Andresele,,
VÕIMALIK,Ian,Iani,Iannis,Iani,Ianist,Ianile,,
VÕIMATU,Joss,Jossi,Jossis,Jossi,Jossist,Jossile,,
Pane saatmine lubatuks,Mihkel,Mihkli,Mihklis,Mihklit,Mihklist,Mihklile,,
Pane saatmine keelatuks,Viivika,Viivika,Viivikas,Viivikat,Viivikast,Viivikale,,
Uus,,,,,,,,
2 Mängijat,,,,,,,,
3 Mängijat,Pood,Poe,Poes,Poodi,,,Poodi,
4 Mängijat,Sepikoda,Sepikoja,Sepikojas,Sepikoda,,,Sepikotta,
Keel:,Turg,Turu,Turul,Turgu,,,Turgu,
Inglise,Raamatukogu,Raamatukogu,Raamatukogus,Raamatukogu,,,Raamatukokku,
Eesti,Maagide Gild,Maagide Gildi,Maagide Gildis,Maagide Gildi,,,Maagide Gildi,
Muuda keelt,Palgasõdurite laager,Palgasõdurite laagri,Palgasõdurite laagris,Palgasõdurite laagrit,,,Palgasõdurite laagrisse,
Lahing lõppeb öö saabudes.,Treeninglaager,Treeninglaagri,Treeninglaagris,Treeninglaagrit,,,Treeninglaagrisse,
Liigu edasi,Puhkemaja,Puhkemaja,Puhkemajas,Puhkemaja,,,Puhkemajja,
Osta maa,Koobas,Koopa,Koopas,Koobast,,,Koopasse,
Valluta maa,Aarete Saar,Aarete Saare,Aarete Saarel,Aarete Saart,,,Aarete Saarele,
Tõsta sissetulekut,Katakombid,Katakombide,Katakombides,Katakombe,,,Katakombidesse,
Uus tugevam kaitsja,Varaste Gild,Varaste Gildi,Varaste Gildis,Varaste Gildi,,,Varaste Gildi,
Palka,Röövlite Gild,Röövlite Gildi,Röövlite Gildis,Röövlite Gildi,,,Röövlite Gildi,
Kaasas olevad asjad,Maagi Torn,Maagi Torni,Maagi Tornis,Maagi Torni,,,Maagi Torni,Maagi Tornid
Nõidused,Org,Oru,Orus,Orgu,,,Orgu,Orud
Ehita,Põlismets,Põlismetsa,Põlismetsas,Põlismetsa,,,Põlismetsa,Põlismetsad
Käigu lõpp,Kõrgendik,Kõrgendiku,Kõrgendikul,Kõrgendikku,,,Kõrgendikule,Kõrgendikud
Su täringuvisete tulemusteks on,Küngas,Künka,Künkal,Küngast,,,Künkale,Künkad
ja,Mägi,Mäe,Mäel,Mäge,,,Mäele,Mäed
"Sul õnnestus veeretada kaks ühesugust arvu!! Sa võid valida,",Tühermaa,Tühermaa,Tühermaal,Tühermaad,,,Tühermaale,Tühermaad
kas lõpptulemus alles jätta või uued arvud veeretada.,Tundra,Tundra,Tundras,Tundrat,,,Tundrasse,Tundrad
Tulemus sobib,Kõrb,Kõrbe,Kõrbes,Kõrbe,,,Kõrbe,Kõrbed
Veeretan uuesti,Soo,Soo,Soos,Sood,,,Sohu,Sood
Väga õnnelik käsi! Täpselt samad arvud jälle!,Vulkaan,Vulkaani,Vulkaanil,Vulkaani,,,Vulkaanile,Vulkaanid
Said,Põõsastik,Põõsastiku,Põõsastikus,Põõsastikku,,,Põõsastikule,Põõsastikud
$ boonusena!,Urg,Uru,Urus,Urgu,,,Urgu,Urud
Super õnnelik käsi! Täpselt samad arvud juba mitmendat korda järjest!!!!,Dzungel,Dzungli,Dzunglis,Dzunglit,,,Dzunglisse,Dzunglid
Võlu-tuul aitab sind!,Kaljustik,Kaljustiku,Kaljustikus,Kaljustikku,,,Kaljustikule,Kaljustikud
nõiutud tuul paiskab sind teelt!,Jäämaa,Jäämaa,Jäämaal,Jäämaad,,,Jäämaale,Jäämaad
nõiutud tuul üritab su liikumist takistada kuid sind see ei,Metsamaa,Metsamaa,Metsamaal,Metsamaad,,,Metsamaale,Metsamaad
mõjuta,Tontlik Mets,Tontiliku Metsa,Tontilikus Metsas,Tontiliku Metsa,,,Tontiliku Metsa,Tontilikud Metsad
!,Rohumaa,Rohumaa,Rohumaal,Rohumaad,,,Rohumaale,Rohumaad
Miinus 1 liikumisele,Püramiid,Püramiidi,Püramiidis,Püramiidi,,,Püramiidi,Püramiidid
Ei mõjuta,Varemed,Varemete,Varemetes,Varemeid,,,Varemetele,Varemed
Lisa,Rannik,Ranniku,Rannikul,Rannikut,,,Rannikule,Rannikud
liikumisele,Nuga,Noa,Noas,Nuga,,,,
", sinu käik jätkub!",Raudpistoda,Raudpistoda,Raudpistodas,Raudpistoda,,,,
Nõiutud tuul sundis sind liikuma hoopis,Teraspistoda,Teraspistoda,Teraspistodas,Teraspistoda,,,,
ruutu edasi!,Mithrilpistoda,Mithrilpistoda,Mithrilpistodas,Mithrilpistoda,,,,
Sa võid,Meremehe mõõk,Meremehe mõõga,Meremehe mõõgas,Meremehe mõõka,,,,
ära osta,Rapiir,Rapiiri,Rapiiris,Rapiiri,,,,
kulla eest.,Leekides pistoda,Leekides pistoda,Leekides pistodas,Leekides pistoda,,,,
Sul on,Raudmõõk,Raudmõõga,Raudmõõgas,Raudmõõka,,,,
kulda.,Terasmõõk,Terasmõõga,Terasmõõgas,Terasmõõka,,,,
Sul pole piisavalt raha et seda maad osta.,Haldjate mõõk,Haldjate mõõga,Haldjate mõõgas,Haldjate mõõka,,,,
See maa maksab,Mithrilmõõk,Mithrilmõõga,Mithrilmõõgas,Mithrilmõõka,,,,
Õnneks sind ei märgatud!,Võimas Lahingukirves,Võimsa Lahingukirve,Võimsas Lahingukirves,Võimsat Lahingukirvest,,,,
Sind nähti!,Samuraimõõk,Samuraimõõga,Samuraimõõgas,Samuraimõõka,,,,
Ei ründa,Külmutav mõõk,Külmutava mõõga,Külmutavas mõõgas,Külmutavat mõõka,,,,
Sepista relvi,Raudnui,Raudnuia,Raudnuias,Raudnuia,,,,
Sepista turviseid,Sõjanui,Sõjanuia,Sõjanuias,Sõjanuia,,,,
Puhka,Teraskoot,Teraskoodi,Teraskoodis,Teraskooti,,,,
elu juurde,Raske haamer,Raske haamri,Raske haamris,Rasket haamrit,,,,
Osta asju,Suur ogadega nui,Suure ogadega nuia,Suures ogadega nuias,Suurt ogadega nuia,,,,
Treeni võluvõimet,Tulekoot,Tulekoodi,Tulekoodis,Tulekooti,,,,
Täienda teadmisi nõidustest,Suur must haamer,Suure musta haamri,Suures mustas haamris,Suurt musta haamrit,,,,
See nõidus,Piksehaamer,Piksehaamri,Piksehaamris,Piksehaamrit,,,,
Tagasi,Haldjate nui,Haldjate nuia,Haldjate nuias,Haldjate nuia,,,,
Sa võid endale osta,Raudkiiver,Raudkiivri,Raudkiivris,Raudkiivrit,,,,
Uuri,Teraskiiver,Teraskiivri,Teraskiivris,Teraskiivrit,,,,
Sul pole piisavalt raha.,Kangelase kiiver,Kangelase kiivri,Kangelase kiivris,Kangelase kiivrit,,,,
Sa ostsid,Mithrilkiiver,Mithrilkiivri,Mithrilkiivris,Mithrilkiivrit,,,,
Sul on juba liiga palju asju kaasas!,Draakonikiiver,Draakonikiivri,Draakonikiivris,Draakonikiivrit,,,,
Kas sa tõesti tahad osta,Haldjate kroon,Haldjate krooni,Haldjate kroonis,Haldjate krooni,,,,
kulla eest?,Võluri müts,Võluri mütsi,Võluri mütsis,Võluri mütsi,,,,
Ei,Must näokaitse,Musta näokaitse,Mustas näokaitses,Musta näokaitset,,,,
Jah,Nahkvest,Nahkvesti,Nahkvestis,Nahkvesti,,,,
Pank,Maagirüü,Maagirüü,Maagirüüs,Maagirüüd,,,,
Varjupaik,Rõngassärk,Rõngassärgi,Rõngassärgis,Rõngassärki,,,,
Sinu,Raudrüü,Raudrüü,Raudrüüs,Raudrüüd,,,,
paljakäsi,Mithrilist turvis,Mithrilist turvise,Mithrilist turvises,Mithrilist turvist,,,,
paljakäsi,Must keep,Musta keebi,Mustas keebis,Musta keepi,,,,
lööb,Haldjate keep,Haldjate keebi,Haldjate keebis,Haldjate keepi,,,,
löök,Nekromandi keep,Nekromandi keebi,Nekromandi keebis,Nekromandi keepi,,,,
torkama,Haldjate soomusärk,Haldjate soomusärgi,Haldjate soomusärgis,Haldjate soomusärki,,,,
torkamis,Ruunimärgiga saapad,Ruunimärgiga saapad,Ruunimärgiga saabastes,Ruunimärgiga saapaid,,,,
torkerelv,Raudsaapad,Raudsaapad,Raudsaabastes,Raudsaapaid,,,,
torkab,Penikoorma saapad,Penikoorma saapad,Penikoorma saabastes,Penikoorma saapaid,,,,
lõikama,Haldjate saapad,Haldjate saapad,Haldjate saabastes,Haldjate saapaid,,,,
lõikamis,Mihtrilist saapad,Mihtrilist saapad,Mihtrilist saabastes,Mihtrilist saapaid,,,,
lõikerelv,Vaimu saapad,Vaimu saapad,Vaimu saabastes,Vaimu saapaid,,,,
raiub,Võluvõimu sõrmus,Võluvõimu sõrmuse,Võluvõimu sõrmuses,Võluvõimu sõrmust,,,,
purustama,Tugevuse sõrmus,Tugevuse sõrmuse,Tugevuse sõrmuses,Tugevuse sõrmust,,,,
purustamis,Kaitsesõrmus,Kaitsesõrmuse,Kaitsesõrmuses,Kaitsesõrmust,,,,
purustaja,Tulesõrmus,Tulesõrmuse,Tulesõrmuses,Tulesõrmust,,,,
lööb,Maasõrmus,Maasõrmuse,Maasõrmuses,Maasõrmust,,,,
Tule,Õhusõrmus,Õhusõrmuse,Õhusõrmuses,Õhusõrmust,,,,
põletab,Veesõrmus,Veesõrmuse,Veesõrmuses,Veesõrmust,,,,
Maa,Nekromandi sõrmus,Nekromandi sõrmuse,Nekromandi sõrmuses,Nekromandi sõrmust,,,,
lööb,Pühaku sõrmus,Pühaku sõrmuse,Pühaku sõrmuses,Pühaku sõrmust,,,,
Õhu,Maagi sõrmus,Maagi sõrmuse,Maagi sõrmuses,Maagi sõrmust,,,,
kõrvetab,Hiiglaste sõrmus,Hiiglaste sõrmuse,Hiiglaste sõrmuses,Hiiglaste sõrmust,,,,
Vee,Jõujook,Jõujoogi,Jõujoogis,Jõujooki,,,,
külmutab,Võluvõimu jook,Võluvõimu joogi,Võluvõimu joogis,Võluvõimu jooki,,,,
Musta maagia,Tervistav jook,Tervistava joogi,Tervistavas joogis,Tervistavat jooki,,,,
kurnab,Tugev tervisejook,Tugeva tervisejoogi,Tugevas tervisejoogis,Tugevat tervisejooki,,,,
Valge maagia,Elueliksiir,Elueliksiiri,Elueliksiiris,Elueliksiiri,,,,
tabab,Manaeliksiir,Manaeliksiiri,Manaeliksiiris,Manaeliksiiri,,,,
Arkaane,Tuleeliksiir,Tuleeliksiiri,Tuleeliksiiris,Tuleeliksiiri,,,,
tabab,Õhueliksiir,Õhueliksiiri,Õhueliksiiris,Õhueliksiiri,,,,
torkama,Jääeliksiir,Jääeliksiiri,Jääeliksiiris,Jääeliksiiri,,,,
torkamis,Maagia Noole nõidus,Maagia Noole nõiduse,Maagia Noole nõiduses,Maagia Noole nõidust,,,,
projektiil,Tulenoole nõidus,Tulenoole nõiduse,Tulenoole nõiduses,Tulenoole nõidust,,,,
laseb,Jäänoole nõidus,Jäänoole nõiduse,Jäänoole nõiduses,Jäänoole nõidust,,,,
annab sulle,Kullatekitamise nõidus,Kullatekitamise nõiduse,Kullatekitamise nõiduses,Kullatekitamise nõidust,,,,
mana päevas.,Asjatekitamise nõidus,Asjatekitamise nõiduse,Asjatekitamise nõiduses,Asjatekitamise nõidust,,,,
mana nüüd päevas),Inglite kutsumise nõidus,Inglite kutsumise nõiduse,Inglite kutsumise nõiduses,Inglite kutsumise nõidust,,,,
sinu mana juurdekasv vähenes,Loo Golemi nõidus,Loo Golemi nõiduse,Loo Golemi nõiduses,Loo Golemi nõidust,,,,
punkti võrra.,Surnute elustamise nõidus,Surnute elustamise nõiduse,Surnute elustamise nõiduses,Surnute elustamise nõidust,,,,
Võta,Ravimisnõidus,Ravimisnõiduse,Ravimisnõiduses,Ravimisnõidust,,,,
Võta kuld,Tulepalli nõidus,Tulepalli nõiduse,Tulepalli nõiduses,Tulepalli nõidust,,,,
Pärast ostu on sul,Piksenoole nõidus,Piksenoole nõiduse,Piksenoole nõiduses,Piksenoole nõidust,,,,
kulda alles.,Jumalate Viha nõidus,Jumalate Viha nõiduse,Jumalate Viha nõiduses,Jumalate Viha nõidust,,,,
Sa korjasid,Tulekolli loomise nõidus,Tulekolli loomise nõiduse,Tulekolli loomise nõiduses,Tulekolli loomise nõidust,,,,
üles.,Maakolli loomise nõidus,Maakolli loomise nõiduse,Maakolli loomise nõiduses,Maakolli loomise nõidust,,,,
Kas sa soovid,Õhukolli loomise nõidus,Õhukolli loomise nõiduse,Õhukolli loomise nõiduses,Õhukolli loomise nõidust,,,,
endale võtta?,Maagilise Turvise nõidus,Maagilise Turvise nõiduse,Maagilise Turvise nõiduses,Maagilise Turvise nõidust,,,,
Maagi õpilane,Maa haamri nõidus,Maa haamri nõiduse,Maa haamri nõiduses,Maa haamri nõidust,,,,
Maag,Metslooma nõidus,Metslooma nõiduse,Metslooma nõiduses,Metslooma nõidust,,,,
Nõid,Maagilise Tuule nõidus,Maagilise Tuule nõiduse,Maagilise Tuule nõiduses,Maagilise Tuule nõidust,,,,
Võlur,Kiirenduse nõidus,Kiirenduse nõiduse,Kiirenduse nõiduses,Kiirenduse nõidust,,,,
Torni Uks,Surma Haarde nõidus,Surma Haarde nõiduse,Surma Haarde nõiduses,Surma Haarde nõidust,,,,
Sinu Maagi torn annab sulle ühe (1),Kurjuse jaksu nõidus,Kurjuse jaksu nõiduse,Kurjuse jaksu nõiduses,Kurjuse jaksu nõidust,,,,
Sinu Maagi tornid annavad sulle,Veekolli loomise nõidus,Veekolli loomise nõiduse,Veekolli loomise nõiduses,Veekolli loomise nõidust,,,,
mana iga päev.,Kaitsevaimu nõidus,Kaitsevaimu nõiduse,Kaitsevaimu nõiduses,Kaitsevaimu nõidust,,,,
Osta endale lemmikloom,Surnute äratamise nõidus,Surnute äratamise nõiduse,Surnute äratamise nõiduses,Surnute äratamise nõidust,,,,
Treeni oma lemmiklooma,Piigimees,Piigimehe,Piigimehes,Piigimeest,Piigimehest,,,
Poe tagaotsas on puur ja seal sees istub,Mõõgamees,Mõõgamehe,Mõõgamees,Mõõgameest,Mõõgamehest,,,
ja vaatab sulle kurbade silmadega otsa.,Rüütel,Rüütli,Rüütel,Rüütlit,Rüütlist,,,
Poe omanik on nõus ta sulle loovutama,Kangelane,Kangelase,Kangelane,Kangelast,Kangelasest,,,
kulla eest.,Kadett,Kadeti,Kadett,Kadetti,Kadetist,,,
Kas sa soovid seda,Ratsanik,Ratsaniku,Ratsanik,Ratsanikku,Ratsanikust,,,
endale lemmikuks?,Valge rüütel,Valge rüütli,Valge rüütel,Valget rüütlit,Valgest rüütlist,,,
ja sind nähes laseb kuuldavale vägave möirge.,Sõjapealik,Sõjapealiku,Sõjapealik,Sõjapealikku,Sõjapealikust,,,
,Haldjas,Haldja,Haldjas,Haldjat,Haldjast,,,
"Sul on juba liiga palju kaaslaseid, rohkem ei mahu!",Kentaur,Kentauri,Kentaur,Kentauri,Kentaurist,,,
poodnikult.,Ükssarvik,Ükssarviku,Ükssarvik,Ükssarvikut,Ükssarvikust,,,
Sa ostsid,Fööniks,Fööniksi,Fööniks,Fööniksit,Fööniksist,,,
"Sa mängisid oma lemmikuga terve ülejäänud päeva,",Ork,Orki,Ork,Orki,Orgist,,,
harjutades teda iseendaga ja õpetades,Troll,Trolli,Troll,Trolli,Trollist,,,
enda käskudele kuuletuma.,Mäehiiglane,Mäehiiglase,Mäehiiglane,Mäehiiglast,Mäehiiglasest,,,
Päeva lõpuks,Kurat,Kuradi,Kurat,Kuradit,Kuradist,,,
sõnakuulelikult järgneb sulle kuhu iganes sa ei läheks.,Ogre,Ogre,Ogre,Ogret,Ogrest,,,
Kas sa soovid veeta oma ülejäänud päeva oma lemmikut treenides?,Päkapikk,Päkapiku,Päkapikk,Päkapikku,Päkapikust,,,
kuni jõudis kätte öö.,Golem,Golemi,Golem,Golemit,Golemist,,,
on saanud,Lahinguäss,Lahinguässa,Lahinguäss,Lahinguässa,Lahinguässast,,,
Sinu,Kivihiiglane,Kivihiiglase,Kivihiiglane,Kivihiiglast,Kivihiiglasest,,,
Karavan saabus kaugelt maalt koos sinule määratud asjaga.,Deemon,Deemoni,Deemon,Deemonit,Deemonist,,,
Investeeri ekspeditsiooni,Skorpion,Skorpioni,Skorpion,Skorpioni,Skorpionist,,,
Sinu karavan saabus kaugelt maalt suurte kasumitega.,Nomaad,Nomaadi,Nomaad,Nomaadi,Nomaadist,,,
Üüri 1 kaamel,Dzinn,Dzinni,Dzinni,Dzinni,Dzinnist,,,
Saada terve karavan,Suur Liivamadu,Suure Liivamao,Suur Liivamadu,Suurt Liivamadu,Suurest Liivamaost,,,
Sa võid saata karavani kaugele maale asju kokku ostma,Zombi,Zombi,Zombi,Zombit,Zombist,,,
Võid ka üürida vaid ühe kaamli kohe teeleasuvasse karavani,Ghuul,Ghuuli,Ghuul,Ghuuli,Ghuulist,,,
(Karavani ettevalmistamine reisiks võtab sul terve päeva),Wraith,Wraithi,Wraith,Wraithi,Wraithist,,,
Karavan edukalt teele saadetud.,Luukeredraakon,Luukeredraakoni,Luukeredraakon,Luukeredraakoni,Luukeredraakonist,,,
Kas ostad endale koha karavanis,Draakonipoeg,Draakonipoja,Draakonipoeg,Draakonipoega,Draakonipojast,,,
Müü asju,Punane Draakon,Punase Draakoni,Punane Draakon,Punast Draakoni,Punasest Draakonist,,,
Müü,Must Draakon,Musta Draakoni,Must Draakon,Musta Draakoni,Musast Draakonist,,,
Saada oma,Iidne Draakon,Iidse Draakoni,Iidne Draakon,Iidset Draakoni,Iidsest Draakonist,,,
Kasta oma,Vampiir,Vampiiri,Vampiir,Vampiiri,Vampiirist,,,
Sa võid ära müüa oma,Vaim,Vaimu,Vaim,Vaimu,Vaimust,,,
Sa võid saata oma,Kaitsevaim,Kaitsevaimu,Kaitsevaim,Kaitsevaimu,Kaitsevaimust,,,
Sa võid nõiutud vette kasta oma,Ingel,Ingli,Ingel,Inglit,Inglist,,,
(,Peaingel,Peaingli,Peaingel,Peainglit,Peainglist,,,
kulda),Jumal,Jumala,Jumal,Jumalate Viha nõidust,Jumalast,,,
Kas sa tõesti tahad müüa oma,Luukere,Luukere,Luukere,Luukeret,Luukerest,,,
Kas sa tõesti tahad saata oma,Tule Elemental,Tule Elementali,Tule Elemental,Tule Elementalit,Tule Elementalist,,,
Kas sa tõesti tahad vette kasta oma,Õhu Elemental,Õhu Elementali,Õhu Elemental,Õhu Elementalit,Õhu Elementalist,,,
Moment pole siin ühtki asja müügil.,Vee Elemental,Vee Elementali,Vee Elemental,Vee Elementalit,Vee Elementalist,,,
"(Kui relv jõkke kasta, kandub maagia jõest relva, muutes relva paremaks.)",Maa Elemental,Maa Elementali,Maa Elemental,Maa Elementalit,Maa Elementalist,,,
või,Vibukütt,Vibuküti,Vibukütt,Vibukütti,Vibukütist,,,Vibukütte
,Ambur,Amburi,Ambur,Amburit,Amburist,,,Ambureid
Sa kastsid oma,Täpsuslaskur,Täpsuslaskuri,Täpsuslaskur,Täpsuslaskurit,Täpsuslaskurist,,,Täpsuslaskureid
maagilisse vette. (Võta nüüd uuenenud relv üles),Kantsi Värav,Kantsi Värava,Kantsi Värav,Kantsi Väravat,Kantsi Väravast,,,
?,Linnuse Värav,Linnuse Värava,Linnuse Värav,Linnuse Väravat,Linnuse Väravast,,,
Sa müüsid oma,Lossi Värav,Lossi Värava,Lossi Värav,Lossi Väravat,Lossi Väravast,,,
,Torni Uks,Torni Ukse,Torni Uks,Torni Ust,Torni Uksest,,,
,Maagi õpilane,Maagi õpilase,Maagi õpilane,Maagi õpilast,Maagi õpilasest,,,
Sa saatsid oma,Maag,Maagi,Maag,Maagi,Maagist,,,
Kas sa soovid oma,Nõid,Nõia,Nõid,Nõida,Nõiast,,,
pähe panna,Võlur,Võluri mütsi,Võlur,Võlurit,Võlurist,,,
selga panna,Tilluke haldjas,Tillukese haldja,Tilluke haldjas,Tillukest haldjat,Tillukesest haldjast,,,
jalga panna,Barbar,Barbari,Barbar,Barbarit,Barbarist,,,
Kas sa tahad,Sõjaväe ülem,Sõjaväe ülema,Sõjaväe ülem,Sõjaväe ülemat,Sõjaväe ülemast,,,
endale relvaks kätte võtta,Titaan,Titaani,Titaan,Titaani,Titaanist,,,
Kas sa soovid oma,Savi Golem,Savi Golemi,Savi Golem,Savi Golemit,Savi Golemist,,,
"kätte võtta, et saaksid seda kasutada",Kivi Golem,Kivi Golemi,Kivi Golem,Kivi Golemit,Kivi Golemist,,,
sõrme panna,Raud Golem,Raud Golemi,Raud Golem,Raud Golemit,Raua Golemist,,,
